AKTV,#genre#
极限电影台,http://ali.hlspull.yximgs.com:80/live/787cec4f8bc06f65a62d74be12c5d4f9.flv
极限电影,http://ali.hlspull.yximgs.com:80/live/c49bb80dd8fa1b2f5bed5c01c2a2d288.flv
惊艳台,http://ali.hlspull.yximgs.com:80/live/8380a44e9972f6ba846596ad36d48ca2.flv
潘多拉,http://ali.hlspull.yximgs.com:80/live/17a80b1d82886ec94058d087e01e9232.flv
彩虹电影,http://ali.hlspull.yximgs.com:80/live/29da97373c682cfe7543b56b4af69f72.flv
彩虹K台,http://ali.hlspull.yximgs.com:80/live/2cbddd5fba2369199661adb81a3b8079.flv
彩虹E台,http://ali.hlspull.yximgs.com:80/live/b0f527dc6600fa6f7d1d555bcdbd2762.flv
明珠台,http://ali.hlspull.yximgs.com:80/live/aeddb51000264ddb31c31857a59b4aa1.flv
松视2台,http://ali.hlspull.yximgs.com/live/a84288f6aa44c9d8ee0dd2bc893c68f9.flv
松视1台,http://ali.hlspull.yximgs.com:80/live/c71885f5a6b7ac11130fd9373a3a63d4.flv
香蕉台,http://ali.hlspull.yximgs.com:80/live/5f9475d108a8dc2a4c6f3645b54363bc.flv
松视3,http://ali.hlspull.yximgs.com:80/live/aeddb51000264ddb31c31857a59b4aa1.flv
14,http://ali.hlspull.yximgs.com:80/live/943f2b8826bdd134e3d7251ab3476b81.flv

测试 0,#genre#
松视1台,http://ali.hlspull.yximgs.com/live/c71885f5a6b7ac11130fd9373a3a63d4.flv
松视 2 台,http://ali.hlspull.yximgs.com/live/a84288f6aa44c9d8ee0dd2bc893c68f9.flv
松视3台,http://ali.hlspull.yximgs.com/live/aeddb51000264ddb31c31857a59b4aa1.flv
彩虹E台,http://ali.hlspull.yximgs.com/live/b0f527dc6600fa6f7d1d555bcdbd2762.flv
彩虹k台,http://ali.hlspull.yximgs.com/live/2cbddd5fba2369199661adb81a3b8079.flv
彩虹电影台,http://ali.hlspull.yximgs.com/live/29da97373c682cfe7543b56b4af69f72.flv
潘朵啦玩美台,http://ali.hlspull.yximgs.com/live/17a80b1d82886ec94058d087e01e9232.flv
惊艳成人电影台,http://ali.hlspull.yximgs.com/live/8380a44e9972f6ba846596ad36d48ca2.flv
香蕉台,http://ali.hlspull.yximgs.com/live/5f9475d108a8dc2a4c6f3645b54363bc.flv
极限电影,http://ali.hlspull.yximgs.com/live/c49bb80dd8fa1b2f5bed5c01c2a2d288.flv
HAPPY台,http://ali.hlspull.yximgs.com/live/787cec4f8bc06f65a62d74be12c5d4f9.flv
PIGOO写真,http://ali.hlspull.yximgs.com/live/5bcf75a5e2b0610a5abc7d8e448d63b7.flv
极限电影台,http://ali.hlspull.yximgs.com/live/787cec4f8bc06f65a62d74be12c5d4f9.flv
